Disease,Vector,Attribute,Neglected,AI_Type,Objective,Query,Result_Count
Dengue,mosquito,virus,Y,deep learning,surveillance,Dengue AND deep learning AND surveillance,18
Dengue,mosquito,virus,Y,deep learning,forecast,Dengue AND deep learning AND forecast,13
Dengue,mosquito,virus,Y,deep learning,early warning system,Dengue AND deep learning AND early warning system,3
Dengue,mosquito,virus,Y,deep learning,diagnostic,Dengue AND deep learning AND diagnostic,13
Dengue,mosquito,virus,Y,machine learning,surveillance,Dengue AND machine learning AND surveillance,103
Dengue,mosquito,virus,Y,machine learning,forecast,Dengue AND machine learning AND forecast,44
Dengue,mosquito,virus,Y,machine learning,early warning system,Dengue AND machine learning AND early warning system,21
Dengue,mosquito,virus,Y,machine learning,diagnostic,Dengue AND machine learning AND diagnostic,58
Dengue,mosquito,virus,Y,k-means clustering,surveillance,Dengue AND k-means clustering AND surveillance,3
Dengue,mosquito,virus,Y,k-means clustering,forecast,Dengue AND k-means clustering AND forecast,0
Dengue,mosquito,virus,Y,k-means clustering,early warning system,Dengue AND k-means clustering AND early warning system,0
Dengue,mosquito,virus,Y,k-means clustering,diagnostic,Dengue AND k-means clustering AND diagnostic,3
Dengue,mosquito,virus,Y,logistic regression,surveillance,Dengue AND logistic regression AND surveillance,341
Dengue,mosquito,virus,Y,logistic regression,forecast,Dengue AND logistic regression AND forecast,20
Dengue,mosquito,virus,Y,logistic regression,early warning system,Dengue AND logistic regression AND early warning system,13
Dengue,mosquito,virus,Y,logistic regression,diagnostic,Dengue AND logistic regression AND diagnostic,200
Dengue,mosquito,virus,Y,support vector machine,surveillance,Dengue AND support vector machine AND surveillance,45
Dengue,mosquito,virus,Y,support vector machine,forecast,Dengue AND support vector machine AND forecast,19
Dengue,mosquito,virus,Y,support vector machine,early warning system,Dengue AND support vector machine AND early warning system,10
Dengue,mosquito,virus,Y,support vector machine,diagnostic,Dengue AND support vector machine AND diagnostic,18
Dengue,mosquito,virus,Y,text mining,surveillance,Dengue AND text mining AND surveillance,28
Dengue,mosquito,virus,Y,text mining,forecast,Dengue AND text mining AND forecast,10
Dengue,mosquito,virus,Y,text mining,early warning system,Dengue AND text mining AND early warning system,3
Dengue,mosquito,virus,Y,text mining,diagnostic,Dengue AND text mining AND diagnostic,12
Dengue,mosquito,virus,Y,artificial neural networks,surveillance,Dengue AND artificial neural networks AND surveillance,11
Dengue,mosquito,virus,Y,artificial neural networks,forecast,Dengue AND artificial neural networks AND forecast,5
Dengue,mosquito,virus,Y,artificial neural networks,early warning system,Dengue AND artificial neural networks AND early warning system,1
Dengue,mosquito,virus,Y,artificial neural networks,diagnostic,Dengue AND artificial neural networks AND diagnostic,12
Dengue,mosquito,virus,Y,expert system,surveillance,Dengue AND expert system AND surveillance,37
Dengue,mosquito,virus,Y,expert system,forecast,Dengue AND expert system AND forecast,8
Dengue,mosquito,virus,Y,expert system,early warning system,Dengue AND expert system AND early warning system,2
Dengue,mosquito,virus,Y,expert system,diagnostic,Dengue AND expert system AND diagnostic,20
Dengue,mosquito,virus,Y,random forest,surveillance,Dengue AND random forest AND surveillance,39
Dengue,mosquito,virus,Y,random forest,forecast,Dengue AND random forest AND forecast,12
Dengue,mosquito,virus,Y,random forest,early warning system,Dengue AND random forest AND early warning system,11
Dengue,mosquito,virus,Y,random forest,diagnostic,Dengue AND random forest AND diagnostic,15
Dengue,mosquito,virus,Y,decision trees,surveillance,Dengue AND decision trees AND surveillance,17
Dengue,mosquito,virus,Y,decision trees,forecast,Dengue AND decision trees AND forecast,2
Dengue,mosquito,virus,Y,decision trees,early warning system,Dengue AND decision trees AND early warning system,2
Dengue,mosquito,virus,Y,decision trees,diagnostic,Dengue AND decision trees AND diagnostic,15
Dengue,mosquito,virus,Y,gradient boosting,surveillance,Dengue AND gradient boosting AND surveillance,10
Dengue,mosquito,virus,Y,gradient boosting,forecast,Dengue AND gradient boosting AND forecast,3
Dengue,mosquito,virus,Y,gradient boosting,early warning system,Dengue AND gradient boosting AND early warning system,0
Dengue,mosquito,virus,Y,gradient boosting,diagnostic,Dengue AND gradient boosting AND diagnostic,3
Dengue,mosquito,virus,Y,natural language processing,surveillance,Dengue AND natural language processing AND surveillance,5
Dengue,mosquito,virus,Y,natural language processing,forecast,Dengue AND natural language processing AND forecast,1
Dengue,mosquito,virus,Y,natural language processing,early warning system,Dengue AND natural language processing AND early warning system,0
Dengue,mosquito,virus,Y,natural language processing,diagnostic,Dengue AND natural language processing AND diagnostic,1
Dengue,mosquito,virus,Y,sentiment analysis,surveillance,Dengue AND sentiment analysis AND surveillance,3
Dengue,mosquito,virus,Y,sentiment analysis,forecast,Dengue AND sentiment analysis AND forecast,1
Dengue,mosquito,virus,Y,sentiment analysis,early warning system,Dengue AND sentiment analysis AND early warning system,1
Dengue,mosquito,virus,Y,sentiment analysis,diagnostic,Dengue AND sentiment analysis AND diagnostic,1
Dengue,mosquito,virus,Y,fuzzy logic,surveillance,Dengue AND fuzzy logic AND surveillance,8
Dengue,mosquito,virus,Y,fuzzy logic,forecast,Dengue AND fuzzy logic AND forecast,3
Dengue,mosquito,virus,Y,fuzzy logic,early warning system,Dengue AND fuzzy logic AND early warning system,3
Dengue,mosquito,virus,Y,fuzzy logic,diagnostic,Dengue AND fuzzy logic AND diagnostic,4
Zika,mosquito,virus,N,deep learning,surveillance,Zika AND deep learning AND surveillance,2
Zika,mosquito,virus,N,deep learning,forecast,Zika AND deep learning AND forecast,1
Zika,mosquito,virus,N,deep learning,early warning system,Zika AND deep learning AND early warning system,0
Zika,mosquito,virus,N,deep learning,diagnostic,Zika AND deep learning AND diagnostic,5
Zika,mosquito,virus,N,machine learning,surveillance,Zika AND machine learning AND surveillance,32
Zika,mosquito,virus,N,machine learning,forecast,Zika AND machine learning AND forecast,8
Zika,mosquito,virus,N,machine learning,early warning system,Zika AND machine learning AND early warning system,3
Zika,mosquito,virus,N,machine learning,diagnostic,Zika AND machine learning AND diagnostic,24
Zika,mosquito,virus,N,k-means clustering,surveillance,Zika AND k-means clustering AND surveillance,1
Zika,mosquito,virus,N,k-means clustering,forecast,Zika AND k-means clustering AND forecast,0
Zika,mosquito,virus,N,k-means clustering,early warning system,Zika AND k-means clustering AND early warning system,0
